AGNO,RBD,DGV_RBD,NOM_RBD,MRUN,RUT_SOSTENEDOR,P_JURIDICA,COD_REG_RBD,COD_PRO_RBD,COD_COM_RBD,NOM_COM_RBD,COD_DEPROV_RBD,NOM_DEPROV_RBD,COD_DEPE,COD_DEPE2,RURAL_RBD,LATITUD,LONGITUD,CONVENIO_PIE,ENS_01,ENS_02,ENS_03,ENS_04,ENS_05,ENS_06,ENS_07,ENS_08,ENS_09,MATRICULA,ESTADO_ESTAB,ORI_RELIGIOSA,ORI_OTRO_GLOSA,PAGO_MATRICULA,PAGO_MENSUAL
2018,83,3,ESCUELA COTA COTANI,,69250800,1,15,152,15201,PUTRE,151,ARICA,2,1,1,"-18,52192497","-69,22052765",0,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,84,1,ESCUELA LOS ALAMOS,,69250800,1,15,152,15201,PUTRE,151,ARICA,2,1,1,"-18,19634819","-69,55921936",0,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,86,8,ESCUELA SAN SANTIAGO DE BELEN,,69250800,1,15,152,15201,PUTRE,151,ARICA,2,1,1,"-18,46778488","-69,51489258",0,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,87,6,ESCUELA ANCOLACANE,,69250700,1,15,152,15202,GENERAL LAGOS,151,ARICA,2,1,1,"-17,85471535","-69,60613251",0,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,88,4,ESCUELA ALCERRECA,,69250700,1,15,152,15202,GENERAL LAGOS,151,ARICA,2,1,1,"-17,99433517","-69,70589447",0,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,89,2,ESCUELA HUMAPALCA,,69250700,1,15,152,15202,GENERAL LAGOS,151,ARICA,2,1,1,"-17,83438873","-69,70278168",0,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,90,6,ESCUELA INTERNADO VISVIRI,,69250700,1,15,152,15202,GENERAL LAGOS,151,ARICA,2,1,1,"-17,59488487","-69,4811554",0,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,91,4,ESCUELA COSAPILLA,,69250700,1,15,152,15202,GENERAL LAGOS,151,ARICA,2,1,1,"-18,38618088","-69,56858063",0,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,92,2,ESCUELA CHISLLUMA,,69250700,1,15,152,15202,GENERAL LAGOS,151,ARICA,2,1,1,"-17,69676781","-69,68830109",0,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,93,0,ESCUELA CHUJLLUTA,,69250700,1,15,152,15202,GENERAL LAGOS,151,ARICA,2,1,1,"-17,89941597","-69,34921265",0,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,94,9,ESCUELA GUACOYO,,69250700,1,15,152,15202,GENERAL LAGOS,151,ARICA,2,1,1,"-17,76012802","-69,34494781",0,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,95,7,ESCUELA COLPITAS,,69250700,1,15,152,15202,GENERAL LAGOS,151,ARICA,2,1,1,"-17,95693779","-69,45362854",0,110,0,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,97,3,INST. COM. DE IQUIQUE BALDOMERO WOLNITZKY,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,"-20,21983528","-70,15323639",1,410,510,810,0,0,0,0,0,0,1,1,1,,$1.000 A $10.000,GRATUITO
2018,98,1,CENTRO DE DIAGNOSTICO,,,9,1,11,1101,IQUIQUE,11,IQUIQUE,3,2,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2018,100,7,ESCUELA,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2018,101,5,HOGAR ESTUDIANTIL,,,9,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,3,9,,SIN INFORMACION,SIN INFORMACION
2018,102,3,ESC.EDUC.ESPECIAL FLOR DEL INCA,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,"-20,24097252","-70,13935089",0,212,215,216,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2018,103,1,ESC.EDUC.GRAL.BAS.Y DES.ART.VIOLETA PARRA,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,"-20,22109604","-70,13816833",1,110,310,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,105,8,CENTRO DE CAPACITACION LABORAL,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,"-20,24172211","-70,13650513",0,212,0,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2018,106,6,INSTITUTO DEL MAR ALMIRANTE CARLOS CONDEL,,71142500,1,1,11,1101,IQUIQUE,11,IQUIQUE,5,4,0,"-20,29394913","-70,1277771",0,110,310,510,810,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,107,4,LICEO LIBERT. GRAL.BERNARDO O´HIGGINS,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,"-20,21974373","-70,15238953",1,110,310,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2018,108,2,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,"-20,22579575","-70,14872742",1,510,610,0,0,0,0,0,0,0,1,1,7,LAICO,GRATUITO,GRATUITO
2018,109,0,LICEO ELENA DUVAUCHELLE CABEZON,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,"-20,21695137","-70,15338135",1,310,410,510,610,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2018,110,4,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,"-20,21758842","-70,14691162",1,10,110,310,0,0,0,0,0,0,1,1,7,LAICA,GRATUITO,GRATUITO
2018,111,2,ESCUELA GABRIELA MISTRAL,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,"-20,22589111","-70,14141083",1,10,110,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2018,112,0,ESCUELA EDUARDO LLANOS,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,"-20,21447563","-70,13585663",1,10,110,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,113,9,ESCUELA ALMIRANTE PATRICIO LYNCH,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,"-20,23204422","-70,13769531",1,10,110,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,114,7,ESCUELA PLACIDO VILLARROEL,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,"-20,22023582","-70,14411163",1,10,110,0,0,0,0,0,0,0,1,1,7,ECUMENICA,GRATUITO,GRATUITO
2018,115,5,ESCUELA JAVIERA CARRERA VERDUGO,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,"-20,21947136","-70,1519483",0,0,0,0,0,0,0,0,0,0,0,2,2,,GRATUITO,GRATUITO
2018,116,3,COLEGIO REPUBLICA DE CROACIA,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,"-20,22727966","-70,13484955",1,10,110,0,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,117,1,ESCUELA PAULA JARAQUEMADA ALQUIZAR,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,"-20,22039795","-70,14624786",1,10,110,214,0,0,0,0,0,0,1,1,2,,GRATUITO,GRATUITO
2018,119,8,ESCUELA CENTENARIO,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,"-20,21351433","-70,14511871",1,10,110,214,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2018,120,1,LICEO COM.Y TEC.ARTURO PRAT CHACON,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,"-20,2095485","-70,14359634",0,0,0,0,0,0,0,0,0,0,0,2,2,,GRATUITO,GRATUITO
2018,122,8,ESCUELA THILDA PORTILLO OLIVARES,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,"-20,23621368","-70,1410141",1,10,110,0,0,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
2018,123,6,COLEGIO ESPANA,,70938800,1,1,11,1101,IQUIQUE,11,IQUIQUE,1,1,0,"-20,2397213","-70,12885284",1,10,110,165,363,0,0,0,0,0,1,1,1,,GRATUITO,GRATUITO
